"縣市名稱","鄉鎮名稱","段號名稱","小段名稱","母號","子號","分號","面積(㎡)","使用單位名稱","使用部門名稱","使用分部名稱","使用分區名稱","使用地類名稱"
"臺中市","東區","復興","六","0008","0006","000","128","中彰區處","月眉資產課","月眉資產課","商業區       ","無"
"臺中市","東區","復興","六","0008","0009","001","0.67","中彰區處","月眉資產課","月眉資產課","住宅區       ","無"
"臺中市","東區","復興","六","0008","0010","000","83","中彰區處","月眉資產課","月眉資產課","住宅區       ","無"
"臺中市","東區","復興","六","0009","0000","000","216","中彰區處","月眉資產課","月眉資產課","商業區       ","無"
"臺中市","東區","復興","六","0022","0004","000","130","中彰區處","月眉資產課","月眉資產課","住宅區       ","無"
"臺中市","東區","復興","六","0022","0006","000","26","中彰區處","月眉資產課","月眉資產課","住宅區       ","無"
"臺中市","東區","復興","六","0025","0002","000","131","中彰區處","月眉資產課","月眉資產課","住宅區       ","無"
"臺中市","東區","復興","六","0025","0008","000","40","中彰區處","月眉資產課","月眉資產課","住宅區       ","無"
"臺中市","東區","復興","六","0026","0006","000","15","中彰區處","月眉資產課","月眉資產課","住宅區       ","無"
"臺中市","東區","樂業",,"0018","0037","000","185","中彰區處","月眉資產課","月眉資產課","道路        ","無"
"臺中市","東區","樂業",,"0023","0013","000","31","中彰區處","月眉資產課","月眉資產課","道路        ","無"
"臺中市","東區","樂業",,"0048","0000","000","8","中彰區處","月眉資產課","月眉資產課","工業區       ","無"
"臺中市","東區","旱溪",,"0121","0098","000","92","中彰區處","月眉資產課","月眉資產課","住宅區       ","無"
"臺中市","東區","旱溪",,"0219","0017","002","61.26","中彰區處","月眉資產課","月眉資產課","住宅區       ","無"
"臺中市","東區","旱溪",,"0219","0041","000","5","中彰區處","月眉資產課","月眉資產課","住宅區       ","無"
"臺中市","東區","旱溪",,"0221","0012","000","212.25","中彰區處","月眉資產課","月眉資產課","住宅區       ","無"
"臺中市","東區","旱溪",,"0259","0001","000","119","中彰區處","月眉資產課","月眉資產課","住宅區       ","無"
"臺中市","東區","旱溪",,"0272","0003","000","1465","中彰區處","月眉資產課","月眉資產課","兒童遊樂場     ","無"
"臺中市","東區","旱溪",,"0272","0004","000","115","中彰區處","月眉資產課","月眉資產課","兒童遊樂場     ","無"
"臺中市","東區","旱溪",,"0272","0145","000","453","中彰區處","月眉資產課","月眉資產課","兒童遊樂場     ","無"
"臺中市","東區","旱溪",,"0272","0202","000","134","中彰區處","月眉資產課","月眉資產課","住宅區       ","無"
"臺中市","東區","旱溪",,"0278","0140","001","2055.58","中彰區處","月眉資產課","月眉資產課","兒童遊樂場     ","無"
"臺中市","東區","旱溪",,"0278","0141","000","10","中彰區處","月眉資產課","月眉資產課","住宅區       ","無"
"臺中市","東區","旱溪",,"0279","0009","000","57","中彰區處","月眉資產課","月眉資產課","兒童遊樂場     ","無"
"臺中市","東區","花園","六","0008","0009","000","13","中彰區處","月眉資產課","月眉資產課","住宅區       ","無"
"臺中市","東區","花園","六","0008","0018","000","78","中彰區處","月眉資產課","月眉資產課","道路        ","無"
"臺中市","東區","花園","六","0008","0019","000","22","中彰區處","月眉資產課","月眉資產課","住宅區       ","無"
"臺中市","東區","泉源",,"0001","0000","000","13522.45","中彰區處","月眉資產課","月眉資產課","商業區       ","無"
"臺中市","東區","泉源",,"0023","0000","000","6622.94","中彰區處","月眉資產課","月眉資產課","商業區       ","無"
"臺中市","南區","半平厝",,"1987","0001","000","10","中彰區處","月眉資產課","月眉資產課","道路        ","無"
"臺中市","西屯區","民安",,"0499","0001","002","21.54","中彰區處","月眉資產課","月眉資產課","道路        ","無"
"臺中市","西屯區","民安",,"1601","0009","000","144.18","中彰區處","月眉資產課","月眉資產課","住宅區       ","無"
"臺中市","西屯區","民安",,"1601","0009","001","10","中彰區處","月眉資產課","月眉資產課","住宅區       ","無"
"臺中市","西屯區","民安",,"1678","0000","000","112.66","中彰區處","月眉資產課","月眉資產課","住宅區       ","無"
"臺中市","西屯區","民安",,"1678","0001","001","4.5","中彰區處","月眉資產課","月眉資產課","道路        ","無"
"臺中市","西屯區","民安",,"1678","0002","000","280.42","中彰區處","月眉資產課","月眉資產課","住宅區       ","無"
"臺中市","西屯區","民安",,"1679","0000","000","204.15","中彰區處","月眉資產課","月眉資產課","住宅區       ","無"
"臺中市","西屯區","民安",,"1679","0001","001","17.5","中彰區處","月眉資產課","月眉資產課","道路        ","無"
"臺中市","西屯區","民安",,"1679","0002","000","287.17","中彰區處","月眉資產課","月眉資產課","住宅區       ","無"
"臺中市","西屯區","民安",,"1685","0000","000","8.4","中彰區處","月眉資產課","月眉資產課","住宅區       ","無"
"臺中市","西屯區","民安",,"1686","0000","000","28.78","中彰區處","月眉資產課","月眉資產課","住宅區       ","無"
"臺中市","西屯區","國安",,"0106","0003","000","100.18","中彰區處","月眉資產課","月眉資產課","住宅區       ","無"
"臺中市","西屯區","國安",,"0422","0000","000","18.12","中彰區處","月眉資產課","月眉資產課","文教區       ","無"
"臺中市","西屯區","國安",,"0423","0000","000","20.16","中彰區處","月眉資產課","月眉資產課","文教區       ","無"
"臺中市","西屯區","國安",,"0435","0000","000","184.14","中彰區處","月眉資產課","月眉資產課","文教區       ","無"
"臺中市","西屯區","國安",,"0435","0001","000","174.16","中彰區處","月眉資產課","月眉資產課","道路        ","無"
"臺中市","西屯區","國安",,"0436","0000","000","27","中彰區處","月眉資產課","月眉資產課","文教區       ","無"
"臺中市","西屯區","國安",,"0436","0001","000","184.05","中彰區處","月眉資產課","月眉資產課","道路        ","無"
"臺中市","西屯區","國安",,"0437","0000","000","268.35","中彰區處","月眉資產課","月眉資產課","道路        ","無"
"臺中市","西屯區","國安",,"0470","0001","004","2051.52","中彰區處","月眉資產課","月眉資產課","道路        ","無"
"臺中市","西屯區","國安",,"0470","0002","000","15.34","中彰區處","月眉資產課","月眉資產課","綠地        ","無"
"臺中市","西屯區","國安",,"0478","0000","000","145.41","中彰區處","月眉資產課","月眉資產課","綠地        ","無"
"臺中市","西屯區","國安",,"0585","0001","000","16896.22","中彰區處","月眉資產課","月眉資產課","住宅區       ","無"
"臺中市","西屯區","國安",,"0585","0002","000","5726.71","中彰區處","月眉資產課","月眉資產課","住宅區       ","無"
"臺中市","西屯區","協成",,"0312","0000","000","231.43","中彰區處","月眉資產課","月眉資產課","農業區       ","無"
"臺中市","西屯區","協成",,"0555","0000","000","1069.11","中彰區處","月眉資產課","月眉資產課","工業區       ","無"
"臺中市","西屯區","協成",,"0555","0000","002","127.01","中彰區處","月眉資產課","月眉資產課","工業區       ","無"
"臺中市","西屯區","協成",,"0561","0000","000","3358.27","中彰區處","月眉資產課","月眉資產課","工業區       ","無"
"臺中市","西屯區","協成",,"0561","0000","002","100","中彰區處","月眉資產課","月眉資產課","工業區       ","無"
"臺中市","西屯區","安林",,"0184","0001","000","57.04","中彰區處","月眉資產課","月眉資產課","醫療專用區     ","無"
"臺中市","西屯區","安林",,"0258","0001","000","189.6","中彰區處","月眉資產課","月眉資產課","道路        ","無"
"臺中市","西屯區","安林",,"0259","0001","000","454.83","中彰區處","月眉資產課","月眉資產課","道路        ","無"
"臺中市","西屯區","安林",,"0259","0002","000","164.11","中彰區處","月眉資產課","月眉資產課","道路        ","無"
"臺中市","西屯區","安林",,"0282","0000","000","4605.83","中彰區處","月眉資產課","月眉資產課","農業區       ","無"
"臺中市","西屯區","安林",,"0282","0001","000","74.94","中彰區處","月眉資產課","月眉資產課","農業區       ","無"
"臺中市","西屯區","安林",,"0283","0000","000","19929.63","中彰區處","月眉資產課","月眉資產課","農業區       ","無"
"臺中市","西屯區","安林",,"0283","0001","000","416.91","中彰區處","月眉資產課","月眉資產課","農業區       ","無"
"臺中市","西屯區","安林",,"0284","0000","000","630.51","中彰區處","月眉資產課","月眉資產課","農業區       ","無"
"臺中市","西屯區","安林",,"0328","0004","000","2056.06","中彰區處","月眉資產課","月眉資產課","農業區       ","無"
"臺中市","西屯區","安林",,"0330","0000","000","20901.98","中彰區處","月眉資產課","月眉資產課","農業區       ","無"
"臺中市","西屯區","安林",,"0330","0000","001","20","中彰區處","月眉資產課","月眉資產課","農業區       ","無"
"臺中市","西屯區","永林",,"0023","0000","000","3426.61","中彰區處","月眉資產課","月眉資產課","農業區       ","無"
"臺中市","西屯區","永林",,"0100","0000","000","353.36","中彰區處","月眉資產課","月眉資產課","農業區       ","無"
"臺中市","西屯區","永林",,"0100","0001","000","8.22","中彰區處","月眉資產課","月眉資產課","農業區       ","無"
"臺中市","西屯區","永林",,"0366","0000","000","119.33","中彰區處","月眉資產課","月眉資產課","農業區       ","無"
"臺中市","西屯區","永林",,"0367","0000","000","85.21","中彰區處","月眉資產課","月眉資產課","農業區       ","無"
"臺中市","西屯區","永林",,"0369","0000","000","21.84","中彰區處","月眉資產課","月眉資產課","農業區       ","無"
"臺中市","西屯區","永林",,"0375","0000","000","16.87","中彰區處","月眉資產課","月眉資產課","農業區       ","無"
"臺中市","西屯區","永林",,"0389","0000","000","3234.12","中彰區處","月眉資產課","月眉資產課","農業區       ","無"
"臺中市","西屯區","永林",,"0390","0000","000","261.75","中彰區處","月眉資產課","月眉資產課","農業區       ","無"
"臺中市","西屯區","永林",,"0418","0000","000","230","中彰區處","農場課","山仔腳農場","農業區       ","無"
"臺中市","西屯區","永林",,"0419","0000","000","259","中彰區處","農場課","山仔腳農場","農業區       ","無"
"臺中市","西屯區","永林",,"0454","0001","000","4110.48","中彰區處","月眉資產課","月眉資產課","農業區       ","無"
"臺中市","西屯區","永林",,"0462","0000","000","610.4","中彰區處","農場課","山仔腳農場","農業區       ","無"
"臺中市","西屯區","永林",,"0463","0000","000","399.76","中彰區處","農場課","山仔腳農場","農業區       ","無"
"臺中市","西屯區","永林",,"0464","0000","000","400.79","中彰區處","農場課","山仔腳農場","農業區       ","無"
"臺中市","西屯區","永林",,"0465","0000","000","421.49","中彰區處","農場課","山仔腳農場","農業區       ","無"
"臺中市","西屯區","永林",,"0471","0000","000","2158.9","中彰區處","農場課","山仔腳農場","農業區       ","無"
"臺中市","西屯區","永林",,"0525","0000","000","1630.83","中彰區處","月眉資產課","月眉資產課","農業區       ","無"
"臺中市","西屯區","永林",,"0573","0000","000","1650.64","中彰區處","月眉資產課","月眉資產課","農業區       ","無"
"臺中市","西屯區","永林",,"0573","0001","001","49235.71","中彰區處","月眉資產課","月眉資產課","農業區       ","無"
"臺中市","西屯區","永林",,"0573","0002","000","349.36","中彰區處","月眉資產課","月眉資產課","農業區       ","無"
"臺中市","西屯區","永林",,"0573","0003","000","307.73","中彰區處","月眉資產課","月眉資產課","農業區       ","無"
"臺中市","西屯區","永林",,"0576","0000","000","95.5","中彰區處","月眉資產課","月眉資產課","道路        ","無"
"臺中市","西屯區","永林",,"0578","0000","000","30516.44","中彰區處","月眉資產課","月眉資產課","農業區       ","無"
"臺中市","西屯區","永林",,"0578","0001","000","4824.61","中彰區處","月眉資產課","月眉資產課","道路        ","無"
"臺中市","西屯區","永林",,"0580","0000","000","18800.33","中彰區處","月眉資產課","月眉資產課","農業區       ","無"
"臺中市","西屯區","永林",,"0580","0001","000","4133.86","中彰區處","月眉資產課","月眉資產課","道路        ","無"
"臺中市","西屯區","永林",,"0580","0002","000","45.59","中彰區處","月眉資產課","月眉資產課","道路        ","無"
"臺中市","西屯區","永林",,"0580","0003","000","24.85","中彰區處","月眉資產課","月眉資產課","道路        ","無"
"臺中市","西屯區","永林",,"0641","0000","000","6438.76","中彰區處","月眉資產課","月眉資產課","農業區       ","無"
"臺中市","西屯區","永林",,"0641","0001","000","0.04","中彰區處","月眉資產課","月眉資產課","工商綜合專用區   ","無"
"臺中市","西屯區","永林",,"0644","0000","000","9371.25","中彰區處","月眉資產課","月眉資產課","農業區       ","無"
"臺中市","西屯區","福林",,"0027","0000","000","8.71","中彰區處","月眉資產課","月眉資產課","農業區       ","無"
"臺中市","西屯區","福林",,"0033","0000","000","13471.3","中彰區處","月眉資產課","月眉資產課","農業區       ","無"
"臺中市","西屯區","福林",,"0033","0000","001","500","中彰區處","月眉資產課","月眉資產課","農業區       ","無"
"臺中市","西屯區","福林",,"0033","0000","002","10","中彰區處","月眉資產課","月眉資產課","農業區       ","無"
"臺中市","西屯區","福林",,"0041","0000","000","5123.39","中彰區處","農場課","山仔腳農場","農業區       ","無"
"臺中市","西屯區","福林",,"0041","0000","001","202.54","中彰區處","月眉資產課","月眉資產課","農業區       ","無"
"臺中市","西屯區","福林",,"0041","0000","002","503","中彰區處","月眉資產課","月眉資產課","農業區       ","無"
"臺中市","西屯區","福林",,"0041","0000","003","19","中彰區處","月眉資產課","月眉資產課","農業區       ","無"
"臺中市","西屯區","福林",,"0041","0000","007","17.46","中彰區處","月眉資產課","月眉資產課","農業區       ","無"
"臺中市","西屯區","福林",,"0044","0000","000","5.83","中彰區處","月眉資產課","月眉資產課","農業區       ","無"
"臺中市","西屯區","福林",,"0046","0000","000","22.87","中彰區處","月眉資產課","月眉資產課","農業區       ","無"
"臺中市","西屯區","福林",,"0048","0000","000","2948.33","中彰區處","月眉資產課","月眉資產課","農業區       ","無"
"臺中市","西屯區","福林",,"0049","0000","000","85637.12","中彰區處","月眉資產課","月眉資產課","農業區       ","無"
"臺中市","西屯區","福林",,"0050","0000","000","14059.41","中彰區處","月眉資產課","月眉資產課","農業區       ","無"
"臺中市","西屯區","福林",,"0051","0000","000","11921.87","中彰區處","月眉資產課","月眉資產課","農業區       ","無"
"臺中市","西屯區","福林",,"0051","0001","000","803.92","中彰區處","月眉資產課","月眉資產課","道路        ","無"
"臺中市","西屯區","福林",,"0060","0000","000","20122.49","中彰區處","月眉資產課","月眉資產課","農業區       ","無"
"臺中市","西屯區","福林",,"0116","0000","000","57463.48","中彰區處","月眉資產課","月眉資產課","農業區       ","無"
"臺中市","西屯區","福林",,"0116","0001","000","1460.66","中彰區處","月眉資產課","月眉資產課","道路        ","無"
"臺中市","西屯區","福林",,"0264","0000","000","6283.69","中彰區處","月眉資產課","月眉資產課","農業區       ","無"
"臺中市","西屯區","福林",,"0271","0000","000","60.27","中彰區處","月眉資產課","月眉資產課","農業區       ","無"
"臺中市","西屯區","福林",,"0271","0002","000","356.44","中彰區處","月眉資產課","月眉資產課","農業區       ","無"
"臺中市","西屯區","福林",,"0272","0000","000","109.15","中彰區處","月眉資產課","月眉資產課","農業區       ","無"
"臺中市","西屯區","福林",,"0272","0002","000","5840.27","中彰區處","月眉資產課","月眉資產課","農業區       ","無"
